Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
fourteenth.flights,available,76,1%,10,Mathematics,,,
adaptable.flights,available,76,9%,9,"Business,Education,Technology",,,
addable.flights,available,76,2%,7,"Engineering,Mathematics,Science",,,
improvise.flights,available,76,4%,9,Entertainment,,,
adherent.flights,available,76,4%,8,"Politics,Religion",,,
resultant.flights,available,76,2%,9,"Healthcare,Insurance,Transportation",,,
auxiliary.flights,available,76,7%,9,"Healthcare,Manufacturing,Technology",,,
firstrate.flights,available,76,6%,10,Business,,,
ague.flights,available,76,2%,4,"Geography,Medicine,Science",,,
thousandth.flights,available,76,1%,10,Mathematics,,,
adaptive.flights,available,76,28%,8,"Business,Education,Technology",,,
threed.flights,available,76,7%,7,Technology,,,
energizing.flights,available,76,3%,10,"Food and Beverage,Health and Fitness,Travel",,,
adhesive.flights,available,76,7%,8,"Construction,Manufacturing,Technology",,,
eighteen.flights,available,76,7%,8,Mathematics,,,
hundredth.flights,available,76,1%,9,Mathematics,,,
abrasive.flights,available,76,6%,8,"Construction,Manufacturing",,,
incidental.flights,available,76,4%,10,"Healthcare,Insurance,Transportation",,,
obscene.flights,available,76,5%,7,"Entertainment,Media",,,
thirteenth.flights,available,76,4%,10,Mathematics,,,
diamond.flights,available,76,32%,7,Fashion,,,
ventral.flights,available,76,3%,7,Science,,,
admirable.flights,available,74,5%,9,"Business,Education,Healthcare",,,
acuate.flights,available,74,2%,6,"Engineering,Medicine,Science",,,
aberrant.flights,available,74,6%,8,"Medicine,Science",,,
realizable.flights,available,74,1%,10,"Business,Education,Technology",,,
single.flights,available,74,19%,6,Sports,,,
achievable.flights,available,74,4%,10,"Business,Education,Technology",,,
manageable.flights,available,74,4%,10,"Business,Education,Technology",,,
adrenergic.flights,available,74,1%,10,"Education,Healthcare,Science",,,
activated.flights,available,74,9%,9,"Healthcare,Manufacturing,Technology",,,
accepting.flights,available,74,3%,9,"Education,Healthcare",,,
sensation.flights,available,74,7%,9,"Entertainment,Media,Sports",,,
adenoid.flights,available,74,1%,7,"Health and Fitness,Medicine,Science",,,
adapted.flights,available,74,6%,7,"Healthcare,Manufacturing,Technology",,,
abnormal.flights,available,74,16%,8,"Medicine,Science",,,
cleared.flights,available,74,7%,7,"Healthcare,Law,Transportation",,,
mavin.flights,available,74,7%,5,"Entertainment,Fashion,Technology",,,
broad.flights,available,74,13%,5,"Entertainment,General,Media",,,
skilful.flights,available,74,3%,7,"Education,Health and Fitness,Sports",,,
adamant.flights,available,74,14%,7,Religion,,,
playing.flights,available,74,12%,7,Entertainment,,,
ablaze.flights,available,72,6%,6,Entertainment,,,
adaptative.flights,available,72,1%,10,"Business,Education,Technology",,,
trey.flights,available,72,14%,4,Sports,,,
absolutist.flights,available,72,1%,10,"Humanities,Law,Politics",,,
engrossed.flights,available,72,1%,9,"Entertainment,Media,Technology",,,
abloom.flights,available,72,5%,6,Agriculture,,,
deep.flights,available,72,41%,4,"Engineering,Mathematics,Science",,,
sixtieth.flights,available,72,1%,8,Mathematics,,,
champion.flights,available,72,28%,8,"Entertainment,Health and Fitness,Sports",,,
adjectival.flights,available,72,1%,10,Education,,,
accusative.flights,available,72,0%,10,"Humanities,Law",,,
ninetieth.flights,available,72,1%,9,Mathematics,,,
absorbed.flights,available,72,2%,8,"Entertainment,Media,Technology",,,
improvize.flights,available,72,1%,9,Entertainment,,,
abreast.flights,available,72,2%,7,"Business,Technology",,,
accustomed.flights,available,72,1%,10,"Business,Education,Humanities",,,
ternary.flights,available,72,7%,7,Mathematics,,,
adonic.flights,available,72,2%,6,"Arts,Education,Entertainment",,,
existent.flights,available,72,3%,8,"Mathematics,Science",,,
adjunctive.flights,available,72,1%,10,"Healthcare,Manufacturing,Technology",,,
aching.flights,available,72,4%,6,Healthcare,,,
trinity.flights,available,72,18%,7,Religion,,,
eightieth.flights,available,72,1%,9,Mathematics,,,
seventieth.flights,available,72,1%,10,Mathematics,,,
adiabatic.flights,available,72,3%,9,"Engineering,Science",,,
addicted.flights,available,72,9%,8,Healthcare,,,
liv.flights,available,72,27%,3,Mathematics,,,
lovely.flights,available,72,26%,6,"Entertainment,Fashion,Retail",,,
lowdown.flights,available,70,6%,8,"Entertainment,Media",,,
accumbent.flights,available,70,1%,9,"Healthcare,Medicine,Science",,,
abradant.flights,available,70,1%,8,"Construction,Manufacturing",,,
admired.flights,available,70,5%,7,"Business,Education,Healthcare",,,
gymnastic.flights,available,70,3%,9,"Entertainment,Sports",,,
recumbent.flights,available,70,2%,9,"Healthcare,Medicine,Science",,,
miserable.flights,available,70,4%,9,Humanities,,,
offhand.flights,available,70,2%,7,Entertainment,,,
absorbing.flights,available,70,3%,9,"Entertainment,Media,Technology",,,
acuminate.flights,available,70,1%,9,"Engineering,Medicine,Science",,,
adjusted.flights,available,70,5%,8,"Manufacturing,Retail,Technology",,,
practiced.flights,available,70,3%,9,"Education,Health and Fitness,Sports",,,
stillborn.flights,available,70,2%,9,"Medicine,Science",,,
skillful.flights,available,70,9%,8,"Education,Health and Fitness,Sports",,,
tiptop.flights,available,70,24%,6,Fashion,,,
unity.flights,available,70,40%,5,Mathematics,,,
consequent.flights,available,70,3%,10,"Business,Education,General,Technology",,,
abulic.flights,available,70,1%,6,Medicine,,,
adored.flights,available,70,6%,6,"Entertainment,Fashion,Retail",,,
adamantine.flights,available,70,4%,10,Religion,,,
overseas.flights,available,68,12%,8,"Hospitality,Travel",,,
stygian.flights,available,68,5%,7,Humanities,,,
acerate.flights,available,68,1%,7,Science,,,
decorated.flights,available,68,3%,9,"Entertainment,Fashion,Retail",,,
activating.flights,available,68,3%,10,"Healthcare,Manufacturing,Technology",,,
octonary.flights,available,68,1%,8,Mathematics,,,
abducent.flights,available,68,0%,8,Medicine,,,
aroused.flights,available,68,3%,7,"Entertainment,Health and Fitness",,,
sevener.flights,available,68,1%,7,Mathematics,,,
foursome.flights,available,68,4%,8,Sports,,,
vindicated.flights,available,68,2%,10,"Humanities,Law,Politics",,,
licenced.flights,available,68,2%,8,"Business,Healthcare,Insurance",,,
fiftieth.flights,available,68,0%,8,Mathematics,,,
disciple.flights,available,68,14%,8,"Education,Religion",,,
ane.flights,available,68,12%,3,Mathematics,,,
thirtieth.flights,available,68,1%,9,Mathematics,,,
scurvy.flights,available,68,3%,6,Humanities,,,
ennead.flights,available,68,5%,6,Mathematics,,,
licensed.flights,available,68,5%,8,"Business,Healthcare,Insurance",,,
ablative.flights,available,68,3%,8,Science,,,
aberdonian.flights,available,68,1%,10,Geography,,,
achaean.flights,available,68,2%,7,Humanities,,,
abnaki.flights,available,68,1%,6,Geography,,,
abkhas.flights,available,68,0%,6,Geography,,,
accredited.flights,available,68,9%,10,"Business,Education,Healthcare",,,
threesome.flights,available,68,5%,9,Entertainment,,,
aculeate.flights,available,68,1%,8,"Engineering,Medicine,Science",,,
achaian.flights,available,68,2%,7,Humanities,,,
fortieth.flights,available,68,0%,8,Mathematics,,,
septenary.flights,available,68,1%,9,Mathematics,,,
performing.flights,available,66,6%,10,Entertainment,,,
onec.flights,available,66,6%,5,Mathematics,,,
xxv.flights,available,66,6%,3,Mathematics,,,
maven.flights,available,66,30%,5,"Entertainment,Fashion,Technology",,,
xvii.flights,available,66,5%,4,Mathematics,,,
exonerated.flights,available,66,2%,10,"Humanities,Law,Politics",,,
abstinent.flights,available,66,1%,9,"Health and Fitness,Religion",,,
accessary.flights,available,66,1%,9,"Business,Law,Technology",,,
modish.flights,available,66,5%,6,Fashion,,,
clv.flights,available,66,10%,3,Mathematics,,,
xvi.flights,available,66,5%,3,Mathematics,,,
four.flights,available,66,27%,4,Mathematics,,,
acappella.flights,available,66,6%,10,Entertainment,,,
six.flights,available,66,26%,3,Mathematics,,,
adorned.flights,available,66,5%,7,"Entertainment,Fashion,Retail",,,
deuce.flights,available,66,9%,5,Sports,,,
ninety.flights,available,66,11%,6,Mathematics,,,
xxvi.flights,available,66,3%,4,Mathematics,,,
latest.flights,available,66,18%,6,Technology,,,
xviii.flights,available,66,5%,5,Mathematics,,,
adopted.flights,available,66,4%,7,"Education,Healthcare",,,
five.flights,available,66,26%,4,Mathematics,,,
acervate.flights,available,66,1%,8,Science,,,
sextet.flights,available,66,1%,6,Entertainment,,,
tenner.flights,available,66,5%,6,Finance,,,
xxii.flights,available,66,6%,4,Mathematics,,,
according.flights,available,66,3%,9,"Business,Education,Technology",,,
thirty.flights,available,66,8%,6,Mathematics,,,
eighty.flights,available,66,6%,6,Mathematics,,,
xxi.flights,available,66,10%,3,Mathematics,,,
century.flights,available,66,17%,7,Education,,,
teenager.flights,available,66,4%,8,"Education,Entertainment,Healthcare",,,
xii.flights,available,66,10%,3,Mathematics,,,
fifty.flights,available,66,12%,5,Mathematics,,,
xiii.flights,available,66,9%,4,Mathematics,,,
buzzing.flights,available,66,7%,7,"Entertainment,Media,Technology",,,
accordant.flights,available,64,3%,9,"Arts,Entertainment",,,
scatty.flights,available,64,1%,6,"Arts,Entertainment,Media",,,
aflame.flights,available,64,3%,6,Entertainment,,,
absolved.flights,available,64,1%,8,"Humanities,Law,Religion",,,
nondrinker.flights,available,64,1%,10,"Health and Fitness,Religion",,,
acentric.flights,available,64,2%,8,Science,,,
astringent.flights,available,64,1%,10,"Healthcare,Pharmaceuticals",,,
ccc.flights,available,64,38%,3,Mathematics,,,
deviant.flights,available,64,12%,7,"Medicine,Science",,,
adagio.flights,available,64,14%,6,Entertainment,,,
rising.flights,available,64,18%,6,"Construction,Manufacturing,Real Estate",,,
fortyfour.flights,available,62,6%,10,Mathematics,,,
admissible.flights,available,62,1%,10,"Education,Healthcare,Law",,,
sixteenth.flights,available,62,1%,9,Mathematics,,,
abo.flights,available,62,15%,3,Science,,,
eleventh.flights,available,62,5%,8,Mathematics,,,
activistic.flights,available,62,1%,10,"Humanities,Politics",,,
acidic.flights,available,62,5%,6,"Food and Beverage,Science",,,
roughly.flights,available,62,3%,7,"Business,Media,Technology",,,
nail.flights,available,62,16%,4,"Construction,Fashion,General,Retail",,,
quartet.flights,available,62,7%,7,"Arts,Entertainment",,,
playacting.flights,available,62,1%,10,Entertainment,,,
orso.flights,available,62,9%,5,"Business,Media,Technology",,,
chiliad.flights,available,62,2%,7,Mathematics,,,
ensuant.flights,available,62,1%,7,"Healthcare,Insurance,Transportation",,,
aborigine.flights,available,62,1%,9,Humanities,,,
exculpated.flights,available,62,1%,10,"Humanities,Law,Politics",,,
twodozen.flights,available,62,1%,9,Mathematics,,,
accusing.flights,available,62,1%,8,Law,,,
eighteenth.flights,available,62,1%,10,Mathematics,,,
wrapped.flights,available,62,13%,7,"Fashion,Hospitality,Retail",,,
accrued.flights,available,62,2%,7,"Banking,Finance,Insurance",,,
aufait.flights,available,62,3%,7,"Fashion,Media",,,
cumulative.flights,available,62,2%,10,"Banking,Finance,Insurance",,,
longdozen.flights,available,62,2%,10,Mathematics,,,
pungent.flights,available,62,1%,7,Food and Beverage,,,
activation.flights,available,62,16%,10,"Healthcare,Manufacturing,Technology",,,
adoptive.flights,available,62,1%,8,"Education,Healthcare",,,
troika.flights,available,62,8%,6,Politics,,,
adjuvant.flights,available,62,5%,8,"Healthcare,Manufacturing,Technology",,,
aboveboard.flights,available,60,5%,10,"Business,Law",,,
cxlv.flights,available,60,2%,4,Mathematics,,,
idolized.flights,available,60,3%,8,"Entertainment,Fashion,Retail",,,
cxv.flights,available,60,4%,3,Mathematics,,,
eightysix.flights,available,60,7%,10,Mathematics,,,
clxx.flights,available,60,3%,4,Mathematics,,,
cxxx.flights,available,60,4%,4,Mathematics,,,
cxl.flights,available,60,7%,3,Mathematics,,,
abashed.flights,available,60,1%,7,Humanities,,,
clx.flights,available,60,10%,3,Mathematics,,,
thou.flights,available,60,7%,4,Mathematics,,,
abstemious.flights,available,60,0%,10,"Food and Beverage,Health and Fitness,Hospitality",,,
paunchy.flights,available,60,0%,7,"Health and Fitness,Medicine",,,
cxxxv.flights,available,60,2%,5,Mathematics,,,
idolised.flights,available,60,1%,8,"Entertainment,Fashion,Retail",,,
adnexal.flights,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
xcl.flights,available,60,5%,3,Mathematics,,,
cautionary.flights,available,60,1%,10,"Business,Education,Healthcare",,,
sixty.flights,available,60,13%,5,Mathematics,,,
adnate.flights,available,60,1%,6,"Agriculture,Manufacturing,Retail",,,
abstainer.flights,available,60,0%,9,"Health and Fitness,Religion",,,
octet.flights,available,60,12%,5,Arts,,,
annexal.flights,available,60,1%,7,"Agriculture,Manufacturing,Retail",,,
cxx.flights,available,60,10%,3,Mathematics,,,
acceptive.flights,available,60,1%,9,"Education,Healthcare",,,
clxv.flights,available,60,1%,4,Mathematics,,,
cxxv.flights,available,60,1%,4,Mathematics,,,
clxxv.flights,available,60,1%,5,Mathematics,,,
clxxx.flights,available,60,1%,5,Mathematics,,,
tertiary.flights,available,60,4%,8,Education,,,
tercet.flights,available,59,2%,6,"Arts,Entertainment,Media",,,
pentad.flights,available,58,2%,6,Mathematics,,,
lxxviii.flights,available,58,1%,7,Mathematics,,,
sixtyone.flights,available,58,3%,9,Mathematics,,,
fourscore.flights,available,58,4%,9,Mathematics,,,
abused.flights,available,58,5%,6,"Healthcare,Law",,,
ache.flights,available,58,7%,4,Healthcare,,,
heptad.flights,available,58,1%,6,Mathematics,,,
closeto.flights,available,58,3%,8,"Business,Media,Technology",,,
lxxx.flights,available,58,2%,4,Mathematics,,,
adhoc.flights,available,58,24%,6,"Business,Engineering,Technology",,,
aucourant.flights,available,58,3%,10,"Fashion,Media",,,
quintet.flights,available,58,8%,7,"Arts,Entertainment",,,
centesimal.flights,available,58,1%,10,Mathematics,,,
tetrad.flights,available,58,5%,6,Mathematics,,,
sextuplet.flights,available,58,1%,9,Healthcare,,,
abuzz.flights,available,58,5%,5,"Entertainment,Media,Technology",,,
seven.flights,available,58,36%,5,Mathematics,,,
addible.flights,available,58,2%,7,"Engineering,Mathematics,Science",,,
fourth.flights,available,58,13%,6,Mathematics,,,
offhanded.flights,available,58,1%,9,Entertainment,,,
accoutred.flights,available,58,1%,9,"Fashion,Manufacturing,Retail",,,
octad.flights,available,58,5%,5,Mathematics,,,
hexad.flights,available,58,4%,5,Mathematics,,,
adjustive.flights,available,58,1%,9,"Manufacturing,Retail,Technology",,,
alacarte.flights,available,58,11%,10,Food and Beverage,,,
linear.flights,available,58,22%,6,"Engineering,Mathematics,Science",,,
adient.flights,available,58,4%,6,"Medicine,Science",,,
twelfth.flights,available,58,2%,7,Mathematics,,,
seventy.flights,available,58,7%,7,Mathematics,,,
accretive.flights,available,58,6%,9,"Banking,Finance,Insurance",,,
justabout.flights,available,58,3%,10,"Business,Media,Technology",,,
addressed.flights,available,58,3%,9,"Business,Technology,Telecommunications",,,
abridged.flights,available,58,4%,8,Media,,,
niner.flights,available,58,5%,5,Mathematics,,,
super.flights,available,58,47%,5,Business,,,
abandoned.flights,available,58,10%,9,"Construction,Real Estate",,,
cypher.flights,available,58,29%,6,Mathematics,,,
accented.flights,available,58,3%,8,"Arts,Entertainment",,,
sixer.flights,available,58,5%,5,Sports,,,
actuarial.flights,available,58,8%,9,"Finance,Insurance,Mathematics",,,
eighter.flights,available,58,2%,7,Mathematics,,,
enwrapped.flights,available,58,0%,9,"Entertainment,Fashion,Media",,,
acyclic.flights,available,58,4%,7,"Engineering,Mathematics,Science",,,
acetic.flights,available,58,1%,6,"Food and Beverage,Science",,,
fifth.flights,available,58,12%,5,Mathematics,,,
xlii.flights,available,56,5%,4,Mathematics,,,
xli.flights,available,56,5%,3,Mathematics,,,
fiftysix.flights,available,56,4%,9,Mathematics,,,
xxviii.flights,available,56,1%,6,Mathematics,,,
fiftynine.flights,available,56,4%,10,Mathematics,,,
xxix.flights,available,56,4%,4,Mathematics,,,
potbellied.flights,available,56,0%,10,"Health and Fitness,Medicine",,,
fortysix.flights,available,56,3%,9,Mathematics,,,
lvi.flights,available,56,8%,3,Mathematics,,,
xxxii.flights,available,56,1%,5,Mathematics,,,
halfdozen.flights,available,56,1%,10,Mathematics,,,
xxvii.flights,available,56,3%,5,Mathematics,,,
xxxi.flights,available,56,9%,4,Mathematics,,,
xxxiii.flights,available,56,2%,6,Mathematics,,,
fiftyfive.flights,available,56,7%,10,Mathematics,,,
abdominous.flights,available,56,0%,10,"Health and Fitness,Medicine",,,
xliii.flights,available,56,1%,5,Mathematics,,,
xxxv.flights,available,56,4%,4,Mathematics,,,
admittible.flights,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fiftytwo.flights,available,56,6%,9,Mathematics,,,
lii.flights,available,56,7%,3,Mathematics,,,
xxxvi.flights,available,56,1%,5,Mathematics,,,
appressed.flights,available,56,0%,9,"Agriculture,Manufacturing,Retail",,,
addled.flights,available,56,2%,6,Entertainment,,,
xlviii.flights,available,56,1%,6,Mathematics,,,
thirtysix.flights,available,56,5%,10,Mathematics,,,
triad.flights,available,56,15%,5,Arts,,,
fortytwo.flights,available,56,17%,9,Mathematics,,,
ilx.flights,available,56,5%,3,Mathematics,,,
lvii.flights,available,56,1%,4,Mathematics,,,
fiftyone.flights,available,56,7%,9,Mathematics,,,
abeyant.flights,available,56,1%,7,"Business,Law",,,
xlvii.flights,available,56,2%,5,Mathematics,,,
fortynine.flights,available,56,3%,10,Mathematics,,,
xlv.flights,available,56,6%,3,Mathematics,,,
xliv.flights,available,56,2%,4,Mathematics,,,
thirtyone.flights,available,56,5%,10,Mathematics,,,
admittable.flights,available,56,1%,10,"Education,Healthcare,Hospitality",,,
fortyone.flights,available,56,4%,9,Mathematics,,,
xxxviii.flights,available,56,1%,7,Mathematics,,,
xxiv.flights,available,56,5%,4,Mathematics,,,
fiftyfour.flights,available,56,3%,10,Mathematics,,,
xxiii.flights,available,56,5%,5,Mathematics,,,
maledict.flights,available,56,1%,8,Religion,,,
lviii.flights,available,56,1%,5,Mathematics,,,
thirtytwo.flights,available,56,5%,10,Mathematics,,,
xlvi.flights,available,56,3%,4,Mathematics,,,
aone.flights,available,56,15%,5,Food and Beverage,,,
xxxiv.flights,available,56,1%,5,Mathematics,,,
terzetto.flights,available,56,3%,8,Arts,,,
accoutered.flights,available,56,0%,10,"Fashion,Manufacturing,Retail",,,
admissive.flights,available,56,1%,9,"Education,Healthcare,Hospitality",,,
liii.flights,available,56,4%,4,Mathematics,,,
xxxvii.flights,available,56,2%,6,Mathematics,,,
viii.flights,available,54,6%,4,Mathematics,,,
monitory.flights,available,54,3%,8,"Business,Education,Healthcare",,,
achromatic.flights,available,54,4%,10,Science,,,
aboral.flights,available,54,2%,6,Science,,,
sise.flights,available,54,5%,4,Mathematics,,,
unnatural.flights,available,54,4%,9,"Medicine,Science",,,
quadruplet.flights,available,54,1%,10,"Healthcare,Medicine,Science",,,
fortyfive.flights,available,54,4%,10,Mathematics,,,
abatic.flights,available,54,1%,6,Science,,,
